sample_id,start,goal,workspace,obstacles,rrt_waypoints,llm_waypoints,m_diag,alpha,epsilon,alpha_bar,s_dyn,s_con,max_energy,q_dyn,q_con,bound_offset,safety_buffer_m,acceptable_M,accepted,llama_model_name,vllm_base_url,prompt
0,"{""x"":3.31,""y"":2.22,""z"":-0.25}","{""x"":2.64,""y"":1.08,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[1.68,2.62,-0.75],""max_corner"":[2.07,3.32,0.25],""size"":[0.38,0.7,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[1.2,0.92,-0.75],""max_corner"":[1.88,1.47,0.25],""size"":[0.68,0.55,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[2.03,2.43,-0.75],""max_corner"":[2.34,2.89,0.25],""size"":[0.31,0.46,1.0]}]","[{""x"":3.31,""y"":2.22,""z"":-0.25},{""x"":2.64,""y"":1.08,""z"":-0.25}]","[{""x"":3.31,""y"":2.22,""z"":-0.25},{""x"":2.64,""y"":1.08,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.0,0.0,0.0,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (3.31,2.22,-0.25), Goal: (2.64,1.08,-0.25), distance≈1.32m. Obstacles with x-y spans: 1 obstacle: x=[1.68,2.07], y=[2.62,3.32]. 2 obstacle: x=[1.20,1.88], y=[0.92,1.47]. 3 obstacle: x=[2.03,2.34], y=[2.43,2.89].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
1,"{""x"":1.62,""y"":1.41,""z"":-0.25}","{""x"":0.86,""y"":3.31,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[1.99,2.58,-0.75],""max_corner"":[2.6,3.08,0.25],""size"":[0.61,0.49,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[3.61,2.8,-0.75],""max_corner"":[3.91,3.13,0.25],""size"":[0.29,0.33,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[1.77,3.28,-0.75],""max_corner"":[2.2,3.76,0.25],""size"":[0.42,0.48,1.0]}]","[{""x"":1.62,""y"":1.41,""z"":-0.25},{""x"":0.86,""y"":3.31,""z"":-0.25}]","[{""x"":1.62,""y"":1.41,""z"":-0.25},{""x"":0.86,""y"":3.31,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.0,0.0,0.0,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (1.62,1.41,-0.25), Goal: (0.86,3.31,-0.25), distance≈2.05m. Obstacles with x-y spans: 1 obstacle: x=[1.99,2.60], y=[2.58,3.08]. 2 obstacle: x=[3.61,3.91], y=[2.80,3.13]. 3 obstacle: x=[1.77,2.20], y=[3.28,3.76].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
2,"{""x"":1.21,""y"":3.32,""z"":-0.25}","{""x"":0.91,""y"":0.96,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.12,1.14,-0.75],""max_corner"":[2.39,1.39,0.25],""size"":[0.27,0.25,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[3.36,2.39,-0.75],""max_corner"":[3.95,3.14,0.25],""size"":[0.58,0.75,1.0]}]","[{""x"":1.21,""y"":3.32,""z"":-0.25},{""x"":0.91,""y"":0.96,""z"":-0.25}]","[{""x"":1.21,""y"":3.32,""z"":-0.25},{""x"":0.91,""y"":0.96,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.0,0.0,0.0,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (1.21,3.32,-0.25), Goal: (0.91,0.96,-0.25), distance≈2.38m. Obstacles with x-y spans: 1 obstacle: x=[2.12,2.39], y=[1.14,1.39]. 2 obstacle: x=[3.36,3.95], y=[2.39,3.14].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
3,"{""x"":1.0,""y"":0.65,""z"":-0.25}","{""x"":0.25,""y"":3.4,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.67,3.3,-0.75],""max_corner"":[0.95,3.84,0.25],""size"":[0.28,0.54,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[0.95,3.64,-0.75],""max_corner"":[1.7,3.91,0.25],""size"":[0.74,0.27,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[0.38,1.2,-0.75],""max_corner"":[0.83,1.65,0.25],""size"":[0.45,0.46,1.0]}]","[{""x"":1.0,""y"":0.65,""z"":-0.25},{""x"":1.34,""y"":0.74,""z"":-0.25},{""x"":1.72,""y"":1.93,""z"":-0.25},{""x"":0.06,""y"":2.88,""z"":-0.25},{""x"":0.25,""y"":3.4,""z"":-0.25}]","[{""x"":1.0,""y"":0.65,""z"":-0.25},{""x"":1.33,""y"":0.7,""z"":-0.25},{""x"":1.29,""y"":2.07,""z"":-0.25},{""x"":0.25,""y"":3.4,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.400297,0.418524,0.103118,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (1.00,0.65,-0.25), Goal: (0.25,3.40,-0.25), distance≈2.85m. Obstacles with x-y spans: 1 obstacle: x=[0.67,0.95], y=[3.30,3.84]. 2 obstacle: x=[0.95,1.70], y=[3.64,3.91]. 3 obstacle: x=[0.38,0.83], y=[1.20,1.65].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
4,"{""x"":2.02,""y"":1.1,""z"":-0.25}","{""x"":2.99,""y"":2.85,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[3.62,2.12,-0.75],""max_corner"":[3.93,2.77,0.25],""size"":[0.31,0.65,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[0.66,2.74,-0.75],""max_corner"":[1.15,3.48,0.25],""size"":[0.49,0.74,1.0]}]","[{""x"":2.02,""y"":1.1,""z"":-0.25},{""x"":2.99,""y"":2.85,""z"":-0.25}]","[{""x"":2.02,""y"":1.1,""z"":-0.25},{""x"":2.99,""y"":2.85,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.0,0.0,0.0,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (2.02,1.10,-0.25), Goal: (2.99,2.85,-0.25), distance≈2.00m. Obstacles with x-y spans: 1 obstacle: x=[3.62,3.93], y=[2.12,2.77]. 2 obstacle: x=[0.66,1.15], y=[2.74,3.48].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
5,"{""x"":1.88,""y"":0.07,""z"":-0.25}","{""x"":2.38,""y"":3.3,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.65,2.37,-0.75],""max_corner"":[3.21,2.86,0.25],""size"":[0.56,0.5,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[1.62,1.72,-0.75],""max_corner"":[2.08,2.0,0.25],""size"":[0.47,0.29,1.0]}]","[{""x"":1.88,""y"":0.07,""z"":-0.25},{""x"":0.66,""y"":1.56,""z"":-0.25},{""x"":0.99,""y"":2.74,""z"":-0.25},{""x"":2.38,""y"":3.3,""z"":-0.25}]","[{""x"":1.88,""y"":0.07,""z"":-0.25},{""x"":0.98,""y"":1.29,""z"":-0.25},{""x"":1.13,""y"":2.64,""z"":-0.25},{""x"":2.38,""y"":3.3,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.165922,0.072708,0.02753,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (1.88,0.07,-0.25), Goal: (2.38,3.30,-0.25), distance≈3.27m. Obstacles with x-y spans: 1 obstacle: x=[2.65,3.21], y=[2.37,2.86]. 2 obstacle: x=[1.62,2.08], y=[1.72,2.00].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
6,"{""x"":2.7,""y"":2.41,""z"":-0.25}","{""x"":2.54,""y"":0.61,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.55,1.13,-0.75],""max_corner"":[3.2,1.48,0.25],""size"":[0.65,0.35,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[0.8,2.29,-0.75],""max_corner"":[1.35,3.02,0.25],""size"":[0.55,0.72,1.0]}]","[{""x"":2.7,""y"":2.41,""z"":-0.25},{""x"":1.86,""y"":1.84,""z"":-0.25},{""x"":1.96,""y"":0.5,""z"":-0.25},{""x"":2.54,""y"":0.61,""z"":-0.25}]","[{""x"":2.7,""y"":2.41,""z"":-0.25},{""x"":2.04,""y"":1.96,""z"":-0.25},{""x"":2.04,""y"":0.6,""z"":-0.25},{""x"":2.54,""y"":0.61,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.154183,0.085581,0.023772,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (2.70,2.41,-0.25), Goal: (2.54,0.61,-0.25), distance≈1.81m. Obstacles with x-y spans: 1 obstacle: x=[2.55,3.20], y=[1.13,1.48]. 2 obstacle: x=[0.80,1.35], y=[2.29,3.02].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
7,"{""x"":2.3,""y"":2.03,""z"":-0.25}","{""x"":0.73,""y"":2.49,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.74,0.83,-0.75],""max_corner"":[3.2,1.09,0.25],""size"":[0.47,0.25,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[2.46,0.9,-0.75],""max_corner"":[3.1,1.47,0.25],""size"":[0.64,0.56,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[0.53,0.31,-0.75],""max_corner"":[1.24,0.77,0.25],""size"":[0.7,0.46,1.0]},{""id"":4,""label"":""box_4"",""shape"":""box"",""min_corner"":[3.38,3.0,-0.75],""max_corner"":[3.89,3.29,0.25],""size"":[0.51,0.29,1.0]}]","[{""x"":2.3,""y"":2.03,""z"":-0.25},{""x"":0.73,""y"":2.49,""z"":-0.25}]","[{""x"":2.3,""y"":2.03,""z"":-0.25},{""x"":0.73,""y"":2.49,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.0,0.0,0.0,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (2.30,2.03,-0.25), Goal: (0.73,2.49,-0.25), distance≈1.64m. Obstacles with x-y spans: 1 obstacle: x=[2.74,3.20], y=[0.83,1.09]. 2 obstacle: x=[2.46,3.10], y=[0.90,1.47]. 3 obstacle: x=[0.53,1.24], y=[0.31,0.77]. 4 obstacle: x=[3.38,3.89], y=[3.00,3.29].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
8,"{""x"":3.55,""y"":3.24,""z"":-0.25}","{""x"":2.85,""y"":1.01,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.26,2.64,-0.75],""max_corner"":[0.97,3.26,0.25],""size"":[0.71,0.63,1.0]}]","[{""x"":3.55,""y"":3.24,""z"":-0.25},{""x"":2.85,""y"":1.01,""z"":-0.25}]","[{""x"":3.55,""y"":3.24,""z"":-0.25},{""x"":2.85,""y"":1.01,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.0,0.0,0.0,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (3.55,3.24,-0.25), Goal: (2.85,1.01,-0.25), distance≈2.34m. Obstacles with x-y spans: 1 obstacle: x=[0.26,0.97], y=[2.64,3.26].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
9,"{""x"":0.47,""y"":3.62,""z"":-0.25}","{""x"":1.6,""y"":1.34,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[3.1,2.03,-0.75],""max_corner"":[3.75,2.71,0.25],""size"":[0.65,0.67,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[2.31,0.97,-0.75],""max_corner"":[2.69,1.51,0.25],""size"":[0.38,0.54,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[0.45,1.28,-0.75],""max_corner"":[1.19,1.97,0.25],""size"":[0.74,0.68,1.0]}]","[{""x"":0.47,""y"":3.62,""z"":-0.25},{""x"":1.96,""y"":2.13,""z"":-0.25},{""x"":1.6,""y"":1.34,""z"":-0.25}]","[{""x"":0.47,""y"":3.62,""z"":-0.25},{""x"":1.79,""y"":2.43,""z"":-0.25},{""x"":1.6,""y"":1.34,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.088562,0.028236,0.007843,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (0.47,3.62,-0.25), Goal: (1.60,1.34,-0.25), distance≈2.54m. Obstacles with x-y spans: 1 obstacle: x=[3.10,3.75], y=[2.03,2.71]. 2 obstacle: x=[2.31,2.69], y=[0.97,1.51]. 3 obstacle: x=[0.45,1.19], y=[1.28,1.97].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
